TimeIdx;Scenario;EMG 1 Time;EMG 1;EMG 2 Time;EMG 2;EMG 3 Time;EMG 3;EMG 4 Time;EMG 4;EMG 5 Time;EMG 5;EMG 6 Time;EMG 6;EMG 7 Time;EMG 7;EMG 8 Time;EMG 8;ECG Time;ECG;GSR Time;GSR;RESP Time;RESP;MOTION 1 Time;MOTION 1;MOTION 2 Time;MOTION 2;ElectroMagnet;X CP;Y CP;arm_Forearm_R;arm_Forearm_L;arm_Torso_R;arm_Torso_L;thigh_Calf_R;thigh_Calf_L;torso_Tighs;shouldersVerticalRotation;shouldersLateralRotation;hipRotation;hand_Left_X;hand_Left_Y;hand_Right_X;hand_Right_Y;hip_center_X;hip_center_Y;Altitude;CollisionEvent;CanyonProximity;MeteorProximity_1;MeteorProximity_2;MeteorProximity_3;
39.9956347;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9961247;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9966092;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9970312;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9973963;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9977422;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9981049;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9984376;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.9987202;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
39.99912;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0, 0.0);0.0;(0.0, 0.0, 0.0);0;0;0;174;177;58;80;154;171;151;350;35;358;19.62515;-0.01650947;20.67436;0.2736121;19.96672;0.4742732;91.72;0;-1;-1;-1;-1;
